Company Name,Product Name,Price,Quantity,Total Value,Date of Sale,Category,Region,Payment Method,Discount,Sales Representative,Sales Channel,Promotion,Product Category,Month of Sale,Revenue
Baxter-Perkins,Glass Resource,184.83,43,7947.69,2025-01-23,Moda,Nordeste,Boleto,20,Crystal Valencia,Online,Liquidação de Verão,Saúde e Beleza,1,7947.6900000000005
Carr-Robinson,Design Give,475.95,85,40455.75,2025-02-24,Eletrônicos,Rio de Janeiro,Boleto,0,Peter Miller,Online,Black Friday,Eletrônicos,2,40455.75
"Sutton, Lowery and Miles",Site Attention,255.73,44,11252.12,2025-02-01,Moda,Rio de Janeiro,Cartão de Crédito,0,Nathan Sampson,Online,Promoção de Natal,Casa e Decoração,2,11252.119999999999
"Watson, Rodriguez and Williams",Writer North,419.61,12,5035.32,2025-01-20,Eletrônicos,Rio de Janeiro,Pix,10,Paul Ruiz,Online,Liquidação de Verão,Casa e Decoração,1,5035.32
Young and Sons,Ahead Maybe,12.53,97,1215.41,2025-01-15,Alimentos,Rio de Janeiro,Pix,10,Elizabeth Phillips,Telemarketing,Black Friday,Saúde e Beleza,1,1215.4099999999999
Becker Inc,Add Role,283.23,80,22658.4,2025-02-22,Alimentos,Nordeste,Boleto,0,Steven Torres,Online,Promoção de Natal,Casa e Decoração,2,22658.4
Colon-Robbins,Hope Have,398.69,44,17542.36,2025-02-23,Eletrônicos,São Paulo,Boleto,0,Daniel Duke,Telemarketing,Liquidação de Verão,Eletrônicos,2,17542.36
"Dickson, Williams and Mcmillan",Physical Skill,333.33,32,10666.56,2025-01-02,Acessórios,São Paulo,Pix,10,Holly Mooney,Loja Física,Liquidação de Verão,Casa e Decoração,1,10666.56
"Mullins, Tucker and Gardner",Expect Example,410.35,6,2462.1,2025-01-28,Acessórios,São Paulo,Dinheiro,10,Rhonda Miller,Loja Física,Promoção de Natal,Eletrônicos,1,2462.1000000000004
"Fowler, Sanchez and Robinson",Project Situation,247.08,70,17295.6,2025-02-08,Acessórios,São Paulo,Dinheiro,5,Ruben Bass,Telemarketing,Nenhuma,Casa e Decoração,2,17295.600000000002
Fox-Clark,Less Individual,132.63,17,2254.71,2025-02-08,Eletrônicos,Rio de Janeiro,Cartão de Crédito,5,Dalton Flores,Online,Liquidação de Verão,Eletrônicos,2,2254.71
"Bryant, Fisher and Parks",True Body,11.09,61,676.49,2025-01-14,Moda,Sul,Pix,20,Jesse Riley,Loja Física,Black Friday,Eletrônicos,1,676.49
Johnson-Ramos,Upon Argue,240.25,47,11291.75,2025-02-18,Alimentos,Nordeste,Boleto,0,Christina Griffin,Telemarketing,Promoção de Natal,Casa e Decoração,2,11291.75
Martinez-Roberts,Find Food,300.7,72,21650.4,2025-02-18,Alimentos,São Paulo,Pix,5,Ryan Williams,Telemarketing,Liquidação de Verão,Casa e Decoração,2,21650.399999999998
Weaver Ltd,Appear Drop,87.11,19,1655.09,2025-02-20,Acessórios,São Paulo,Pix,5,Linda Hall,Online,Nenhuma,Saúde e Beleza,2,1655.09
"Leonard, Lopez and Rhodes",Occur Coach,209.16,84,17569.44,2025-01-11,Alimentos,Sul,Cartão de Crédito,0,John Berg II,Loja Física,Promoção de Natal,Eletrônicos,1,17569.44
Castillo PLC,Success Social,270.44,39,10547.16,2025-01-15,Alimentos,São Paulo,Dinheiro,10,Paul Green,Loja Física,Liquidação de Verão,Saúde e Beleza,1,10547.16
"Lowery, Henry and Olson",Responsibility Season,435.29,6,2611.74,2025-01-22,Acessórios,Nordeste,Pix,0,Deanna Webb,Loja Física,Black Friday,Saúde e Beleza,1,2611.7400000000002
Tapia-Barnes,Director Lead,117.68,70,8237.6,2025-01-30,Moda,Nordeste,Cartão de Crédito,20,Jonathon Valentine,Telemarketing,Black Friday,Casa e Decoração,1,8237.6
Marshall-Brown,Enjoy Star,396.7,42,16661.4,2025-02-11,Acessórios,São Paulo,Pix,0,James Cruz,Loja Física,Nenhuma,Eletrônicos,2,16661.399999999998
"Watson, Sanchez and Davis",Measure Firm,317.58,25,7939.5,2025-02-13,Eletrônicos,São Paulo,Dinheiro,0,Angelica Cobb,Online,Liquidação de Verão,Roupas,2,7939.5
Higgins-Warren,Same Gun,347.53,68,23632.04,2025-02-24,Moda,Nordeste,Pix,5,Casey Meyers,Online,Promoção de Natal,Roupas,2,23632.039999999997
"Newton, Rodriguez and Gomez",Specific Live,97.58,52,5074.16,2025-01-05,Moda,Rio de Janeiro,Dinheiro,0,Laura Brown,Online,Black Friday,Roupas,1,5074.16
Haney-Scott,Only Matter,184.98,95,17573.1,2025-01-19,Alimentos,São Paulo,Dinheiro,10,Beth Tran,Online,Liquidação de Verão,Saúde e Beleza,1,17573.1
Baker-Griffith,Hold Pass,175.8,68,11954.4,2025-01-02,Acessórios,Rio de Janeiro,Boleto,5,Calvin Taylor,Telemarketing,Promoção de Natal,Casa e Decoração,1,11954.400000000001
Chandler-Hernandez,Already Hope,325.76,100,32576.0,2025-01-16,Alimentos,Sul,Dinheiro,5,Denise Ross PhD,Telemarketing,Promoção de Natal,Eletrônicos,1,32576.0
"Cline, Mitchell and Olson",Enjoy Along,386.0,18,6948.0,2025-02-12,Moda,Rio de Janeiro,Cartão de Crédito,10,Shawn Wilson,Loja Física,Promoção de Natal,Casa e Decoração,2,6948.0
Hampton-Ramirez,Offer Create,282.09,95,26798.55,2025-01-15,Eletrônicos,Sul,Dinheiro,0,Marvin Cortez,Loja Física,Nenhuma,Saúde e Beleza,1,26798.55
Jackson-Freeman,Act Allow,56.75,55,3121.25,2025-01-10,Alimentos,Sul,Cartão de Crédito,20,Michael Brown,Loja Física,Promoção de Natal,Roupas,1,3121.25
"Bush, Ellis and Gibson",Over Who,105.08,89,9352.12,2025-02-06,Alimentos,Nordeste,Boleto,0,Daniel Brown,Telemarketing,Liquidação de Verão,Eletrônicos,2,9352.119999999999
King-Ball,Oil Itself,153.5,18,2763.0,2025-01-03,Moda,Rio de Janeiro,Pix,10,Jo Kaufman,Telemarketing,Nenhuma,Eletrônicos,1,2763.0
Spencer Ltd,Political Thing,172.78,69,11921.82,2025-01-28,Alimentos,Sul,Dinheiro,5,Jacob Burton,Online,Promoção de Natal,Roupas,1,11921.82
Smith-Cobb,Employee Focus,308.19,2,616.38,2025-01-01,Acessórios,Sul,Pix,0,Greg Reid,Online,Black Friday,Casa e Decoração,1,616.38
Boone-May,Strong City,496.8,56,27820.8,2025-01-05,Moda,Rio de Janeiro,Cartão de Crédito,20,Tanya Johnson,Loja Física,Liquidação de Verão,Saúde e Beleza,1,27820.8
Holden-Gonzalez,Capital All,74.54,73,5441.42,2025-01-18,Moda,Sul,Boleto,10,Jasmin Pineda,Telemarketing,Nenhuma,Roupas,1,5441.42
Miles LLC,View Day,247.38,66,16327.08,2025-01-16,Alimentos,São Paulo,Pix,20,Emily Palmer,Online,Promoção de Natal,Eletrônicos,1,16327.08
Silva-Chase,Six Wait,346.99,69,23942.31,2025-01-17,Acessórios,Sul,Dinheiro,0,Sydney Clark,Online,Promoção de Natal,Eletrônicos,1,23942.31
Williams-Swanson,Recently I,402.67,97,39058.99,2025-02-01,Alimentos,Rio de Janeiro,Boleto,10,Heather Hudson,Telemarketing,Liquidação de Verão,Casa e Decoração,2,39058.99
Marshall Ltd,Door Change,289.37,20,5787.4,2025-02-01,Alimentos,São Paulo,Cartão de Crédito,10,Douglas Dawson,Telemarketing,Black Friday,Casa e Decoração,2,5787.4
Tanner-Hamilton,Difference Mention,39.01,36,1404.36,2025-01-03,Eletrônicos,Sul,Cartão de Crédito,0,Scott Pearson,Online,Promoção de Natal,Eletrônicos,1,1404.36
Ellis-Martinez,Unit Fish,371.27,39,14479.53,2025-01-01,Eletrônicos,Nordeste,Pix,5,Scott Smith,Telemarketing,Promoção de Natal,Roupas,1,14479.529999999999
"Wood, Adams and Goodman",Do Necessary,266.06,100,26606.0,2025-01-22,Eletrônicos,São Paulo,Pix,20,Michele Casey,Telemarketing,Black Friday,Roupas,1,26606.0
Atkinson-Nelson,Hope Be,241.61,93,22469.73,2025-01-18,Eletrônicos,Sul,Pix,10,Jennifer Monroe,Loja Física,Nenhuma,Saúde e Beleza,1,22469.73
Mitchell-Green,Environmental Huge,23.21,80,1856.8,2025-01-04,Moda,Sul,Boleto,0,Ryan Parker,Online,Promoção de Natal,Eletrônicos,1,1856.8000000000002
"French, Kemp and Pitts",Black Fill,54.39,66,3589.74,2025-02-07,Eletrônicos,São Paulo,Pix,0,Tracy Pena,Loja Física,Nenhuma,Saúde e Beleza,2,3589.7400000000002
Wade LLC,Leave Start,372.45,77,28678.65,2025-02-02,Alimentos,Sul,Pix,0,Samuel Smith,Telemarketing,Nenhuma,Casa e Decoração,2,28678.649999999998
Mills-Flores,Civil Growth,303.69,72,21865.68,2025-02-03,Eletrônicos,São Paulo,Pix,0,Gregory Moore,Loja Física,Nenhuma,Casa e Decoração,2,21865.68
"Jenkins, Brown and Lambert",Address Any,11.53,49,564.97,2025-02-14,Acessórios,Nordeste,Cartão de Crédito,20,Douglas Rodriguez,Telemarketing,Nenhuma,Saúde e Beleza,2,564.9699999999999
Baker-Pena,Skin Service,488.08,55,26844.4,2025-01-20,Moda,Rio de Janeiro,Boleto,0,Samuel Grant,Telemarketing,Nenhuma,Eletrônicos,1,26844.399999999998
Page PLC,Paper Cold,399.3,53,21162.9,2025-02-21,Acessórios,Rio de Janeiro,Pix,20,Brianna Porter,Telemarketing,Promoção de Natal,Roupas,2,21162.9
"Warren, Salas and Richardson",Stay Federal,43.83,57,2498.31,2025-01-05,Alimentos,Rio de Janeiro,Dinheiro,20,Beth Bush,Online,Black Friday,Casa e Decoração,1,2498.31
"Powell, Campbell and Wilkins",Meeting Admit,322.64,89,28714.96,2025-01-02,Eletrônicos,Nordeste,Cartão de Crédito,0,Jonathan Lopez,Telemarketing,Liquidação de Verão,Casa e Decoração,1,28714.96
Brown LLC,Against Nor,308.34,82,25283.88,2025-02-09,Alimentos,Sul,Cartão de Crédito,20,Aaron Mckay,Telemarketing,Liquidação de Verão,Roupas,2,25283.879999999997
Franklin-Moore,Major Home,308.11,50,15405.5,2025-01-23,Moda,Nordeste,Dinheiro,10,Emily Smith,Online,Black Friday,Saúde e Beleza,1,15405.5
"Ramirez, Wood and Leblanc",Skill Result,332.32,81,26917.92,2025-01-04,Moda,Nordeste,Dinheiro,20,Rebecca Murphy,Online,Liquidação de Verão,Eletrônicos,1,26917.92
Hull-Owens,Forget Beautiful,136.24,23,3133.52,2025-01-12,Eletrônicos,Sul,Dinheiro,0,Rachel Collins,Online,Promoção de Natal,Roupas,1,3133.5200000000004
"Simmons, Mcneil and Booth",Guess Real,384.9,62,23863.8,2025-01-19,Eletrônicos,Nordeste,Cartão de Crédito,10,Angie Grant,Telemarketing,Promoção de Natal,Saúde e Beleza,1,23863.8
Ramirez-Zavala,Easy They,86.45,92,7953.4,2025-01-08,Alimentos,Sul,Pix,20,Stephanie Williams,Telemarketing,Promoção de Natal,Saúde e Beleza,1,7953.400000000001
Henry LLC,Difference Name,434.22,61,26487.42,2025-02-06,Acessórios,São Paulo,Boleto,10,John Williams,Telemarketing,Promoção de Natal,Casa e Decoração,2,26487.420000000002
"Thompson, Herring and Day",Never Nice,241.14,100,24114.0,2025-02-14,Eletrônicos,Nordeste,Boleto,20,Amy Smith,Online,Promoção de Natal,Roupas,2,24114.0
Johnson-Pineda,Meet Gun,265.69,46,12221.74,2025-02-01,Moda,São Paulo,Cartão de Crédito,5,Deborah Mercer,Telemarketing,Liquidação de Verão,Roupas,2,12221.74
Stafford-White,School Account,61.77,91,5621.07,2025-01-18,Acessórios,Nordeste,Dinheiro,5,Brian Davis,Online,Nenhuma,Casa e Decoração,1,5621.070000000001
Landry LLC,Project Soldier,155.67,18,2802.06,2025-01-02,Eletrônicos,Sul,Dinheiro,10,Philip Walker,Online,Black Friday,Roupas,1,2802.06
Wallace and Sons,Baby Save,390.02,67,26131.34,2025-01-14,Acessórios,São Paulo,Dinheiro,5,Elizabeth Arias,Online,Promoção de Natal,Eletrônicos,1,26131.34
Phillips-Smith,Cold Court,48.65,27,1313.55,2025-02-25,Alimentos,Nordeste,Dinheiro,10,Latoya Stewart,Online,Liquidação de Verão,Eletrônicos,2,1313.55
Walsh-Harris,Work Travel,190.81,66,12593.46,2025-01-13,Alimentos,São Paulo,Pix,0,David Turner,Telemarketing,Black Friday,Eletrônicos,1,12593.460000000001
"Vega, Grant and Wilson",Value Eight,134.75,71,9567.25,2025-01-25,Alimentos,São Paulo,Dinheiro,5,Brian Richardson,Online,Promoção de Natal,Saúde e Beleza,1,9567.25
Hernandez-Reynolds,Man Suddenly,436.63,75,32747.25,2025-01-22,Acessórios,São Paulo,Cartão de Crédito,20,Antonio Obrien,Loja Física,Promoção de Natal,Roupas,1,32747.25
Greene Ltd,Outside Foot,295.84,55,16271.2,2025-01-04,Moda,Rio de Janeiro,Dinheiro,0,David Marks,Loja Física,Nenhuma,Eletrônicos,1,16271.199999999999
Scott PLC,Development No,395.65,60,23739.0,2025-02-02,Alimentos,Sul,Boleto,20,Kelly Navarro,Online,Black Friday,Eletrônicos,2,23739.0
Hernandez PLC,Plan Every,140.83,62,8731.46,2025-02-21,Acessórios,São Paulo,Boleto,10,Matthew Little,Online,Nenhuma,Saúde e Beleza,2,8731.460000000001
"Ray, Rice and Lucero",Could When,313.29,70,21930.3,2025-02-02,Eletrônicos,São Paulo,Pix,20,Michelle Knapp,Loja Física,Black Friday,Saúde e Beleza,2,21930.300000000003
Hansen LLC,Science Begin,64.73,69,4466.37,2025-02-21,Acessórios,Nordeste,Pix,5,Alexander Beltran,Online,Nenhuma,Casa e Decoração,2,4466.37
Cantu-Cannon,We Film,292.59,24,7022.16,2025-02-07,Acessórios,São Paulo,Boleto,20,James Johnston,Telemarketing,Liquidação de Verão,Roupas,2,7022.16
"Medina, Gilbert and Rose",Thing Stock,441.98,90,39778.2,2025-01-23,Acessórios,Rio de Janeiro,Pix,10,Austin Holloway,Loja Física,Liquidação de Verão,Casa e Decoração,1,39778.200000000004
Morales-Alvarado,Type Issue,108.08,42,4539.36,2025-01-13,Alimentos,Nordeste,Cartão de Crédito,0,Jacqueline Walters,Loja Física,Liquidação de Verão,Roupas,1,4539.36
"Hammond, Smith and Johnson",Pick Red,452.44,43,19454.92,2025-02-03,Acessórios,Rio de Janeiro,Dinheiro,0,Mr. Steven Davis,Online,Promoção de Natal,Eletrônicos,2,19454.92
Rodgers PLC,Card Decade,384.65,59,22694.35,2025-01-24,Acessórios,Nordeste,Pix,20,Christopher Duran,Loja Física,Black Friday,Saúde e Beleza,1,22694.35
Jackson Ltd,Rest Type,27.01,26,702.26,2025-01-03,Eletrônicos,Nordeste,Cartão de Crédito,10,Mary King,Telemarketing,Nenhuma,Roupas,1,702.26
Torres-Ryan,Thank Miss,261.77,9,2355.93,2025-01-22,Alimentos,São Paulo,Boleto,5,April Lopez,Telemarketing,Liquidação de Verão,Eletrônicos,1,2355.93
"Johnston, Baldwin and Kramer",Wrong Much,467.31,52,24300.12,2025-01-17,Acessórios,Sul,Dinheiro,5,James Crawford,Online,Promoção de Natal,Roupas,1,24300.12
King Group,Newspaper Camera,386.49,59,22802.91,2025-01-11,Moda,São Paulo,Boleto,5,Patrick Robbins,Loja Física,Liquidação de Verão,Casa e Decoração,1,22802.91
"Rivera, Morris and Cardenas",Floor Environment,434.95,44,19137.8,2025-02-15,Moda,Nordeste,Pix,10,Kelsey Brown,Loja Física,Promoção de Natal,Casa e Decoração,2,19137.8
Miranda-Ramos,Language Until,20.48,30,614.4,2025-02-08,Acessórios,Nordeste,Pix,20,Michelle Heath,Telemarketing,Promoção de Natal,Eletrônicos,2,614.4
Brown-Adams,International It,344.49,36,12401.64,2025-02-13,Eletrônicos,Nordeste,Boleto,20,Shannon Adkins,Loja Física,Liquidação de Verão,Saúde e Beleza,2,12401.64
Castillo-Marquez,Clearly Bit,250.27,14,3503.78,2025-01-02,Acessórios,Rio de Janeiro,Dinheiro,20,David Brooks,Telemarketing,Black Friday,Roupas,1,3503.78
"Mitchell, Collins and Jacobs",Young Story,175.16,26,4554.16,2025-02-22,Alimentos,São Paulo,Pix,0,Jamie Kelly,Online,Nenhuma,Eletrônicos,2,4554.16
Smith-Dean,Southern Interview,18.38,46,845.48,2025-01-24,Moda,Sul,Cartão de Crédito,0,Michael Andrews,Online,Nenhuma,Roupas,1,845.4799999999999
Burton LLC,Do Difficult,156.53,70,10957.1,2025-02-16,Moda,São Paulo,Cartão de Crédito,5,David Bentley,Online,Promoção de Natal,Saúde e Beleza,2,10957.1
"Floyd, Miller and Everett",Indicate Personal,291.22,38,11066.36,2025-02-26,Moda,Rio de Janeiro,Dinheiro,20,Rachel Russell,Telemarketing,Promoção de Natal,Casa e Decoração,2,11066.36
Knight-Meyer,Form Choice,489.26,67,32780.42,2025-02-11,Alimentos,Rio de Janeiro,Cartão de Crédito,10,Emily Gutierrez,Online,Liquidação de Verão,Casa e Decoração,2,32780.42
"Green, Ortiz and Cooper",Maybe Economy,269.43,60,16165.8,2025-02-07,Eletrônicos,Nordeste,Boleto,5,James Morrow,Online,Promoção de Natal,Eletrônicos,2,16165.800000000001
Allen and Sons,Whose That,421.88,1,421.88,2025-01-21,Eletrônicos,São Paulo,Boleto,5,David Thompson,Telemarketing,Liquidação de Verão,Casa e Decoração,1,421.88
Collins-Garrison,Design Wide,353.46,95,33578.7,2025-01-08,Moda,São Paulo,Pix,5,Maureen Page,Online,Nenhuma,Roupas,1,33578.7
Adams LLC,Oil Know,498.13,40,19925.2,2025-02-21,Eletrônicos,Sul,Pix,10,Sherry Burke,Loja Física,Nenhuma,Saúde e Beleza,2,19925.2
Wilson-Little,Development Reason,450.87,69,31110.03,2025-01-15,Eletrônicos,Sul,Pix,10,John Jackson,Online,Promoção de Natal,Eletrônicos,1,31110.03
Davis and Sons,Apply Represent,469.47,10,4694.7,2025-01-07,Alimentos,Rio de Janeiro,Pix,10,Angela Fisher,Telemarketing,Liquidação de Verão,Eletrônicos,1,4694.700000000001
Parrish-Murray,Mention Likely,351.09,42,14745.78,2025-02-07,Acessórios,Rio de Janeiro,Pix,10,Robert Wang,Loja Física,Liquidação de Verão,Saúde e Beleza,2,14745.779999999999
Washington Inc,Really Her,262.16,23,6029.68,2025-01-27,Acessórios,Rio de Janeiro,Dinheiro,0,Becky Hanna,Loja Física,Nenhuma,Roupas,1,6029.68
Huff PLC,Structure Him,71.1,37,2630.7,2025-01-16,Moda,Rio de Janeiro,Pix,5,Barbara Young,Online,Black Friday,Roupas,1,2630.7
Castillo-Adams,Oil Every,17.5,65,1137.5,2025-01-14,Moda,Nordeste,Boleto,5,Caleb Watson,Telemarketing,Black Friday,Casa e Decoração,1,1137.5
"Lee, Jimenez and Mckinney",Level When,435.37,3,1306.11,2025-02-24,Alimentos,Rio de Janeiro,Boleto,10,Jeffrey Jones,Telemarketing,Nenhuma,Eletrônicos,2,1306.1100000000001
"Davis, Burns and Peterson",Anyone Before,282.89,35,9901.15,2025-01-09,Moda,Rio de Janeiro,Dinheiro,20,Susan Thomas,Telemarketing,Liquidação de Verão,Casa e Decoração,1,9901.15
"Francis, Burnett and Lawson",Gun Opportunity,301.74,89,26854.86,2025-02-07,Acessórios,Rio de Janeiro,Dinheiro,5,Andre Reynolds,Telemarketing,Nenhuma,Eletrônicos,2,26854.86
"Dean, Burns and Dickerson",Sea Here,220.5,55,12127.5,2025-01-19,Alimentos,Sul,Boleto,10,Allison Ramirez,Telemarketing,Nenhuma,Casa e Decoração,1,12127.5
Schultz Group,Pick If,68.19,20,1363.8,2025-02-16,Alimentos,São Paulo,Cartão de Crédito,5,Heather Taylor,Telemarketing,Black Friday,Roupas,2,1363.8
"West, Warren and Neal",Successful Citizen,213.3,76,16210.8,2025-02-11,Alimentos,Sul,Pix,10,John Ferrell,Telemarketing,Black Friday,Casa e Decoração,2,16210.800000000001
Kirby-Thomas,Chair Floor,335.59,47,15772.73,2025-01-08,Eletrônicos,Sul,Pix,5,Tonya Smith,Telemarketing,Black Friday,Saúde e Beleza,1,15772.73
"Mckay, Rich and Berry",Agree Anyone,361.67,71,25678.57,2025-01-29,Eletrônicos,São Paulo,Pix,5,Dr. Tyler Schmidt,Online,Promoção de Natal,Roupas,1,25678.57
Jones and Sons,Class Law,144.31,19,2741.89,2025-02-04,Moda,São Paulo,Cartão de Crédito,5,Patrick Hayes,Telemarketing,Black Friday,Casa e Decoração,2,2741.89
Silva PLC,Professor Event,364.57,87,31717.59,2025-02-03,Acessórios,São Paulo,Cartão de Crédito,20,Terry Clark,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,31717.59
"Ball, Valenzuela and Rhodes",Against Message,242.59,23,5579.57,2025-01-11,Acessórios,São Paulo,Boleto,10,David Parker,Telemarketing,Black Friday,Roupas,1,5579.57
Johnson Ltd,Power Culture,146.74,89,13059.86,2025-02-20,Moda,Nordeste,Pix,5,Linda Morris,Online,Promoção de Natal,Eletrônicos,2,13059.86
Taylor-Rivera,Ago Edge,29.13,85,2476.05,2025-01-13,Acessórios,São Paulo,Dinheiro,5,Jason Grimes,Telemarketing,Nenhuma,Eletrônicos,1,2476.0499999999997
Ross-Mullins,Trial Job,81.78,40,3271.2,2025-02-09,Acessórios,Nordeste,Dinheiro,0,Dennis Ramos,Loja Física,Black Friday,Eletrônicos,2,3271.2
Wilson-Herrera,Movie Relate,153.93,4,615.72,2025-02-15,Acessórios,São Paulo,Dinheiro,10,Ruben Wilson,Online,Liquidação de Verão,Saúde e Beleza,2,615.72
"Rodgers, Allen and Atkinson",Bill Agree,261.2,8,2089.6,2025-01-11,Acessórios,Rio de Janeiro,Dinheiro,10,Patricia Lewis,Telemarketing,Black Friday,Roupas,1,2089.6
Riddle-Johnson,Media Arm,408.76,86,35153.36,2025-01-20,Moda,Rio de Janeiro,Dinheiro,20,Danielle Martinez,Telemarketing,Promoção de Natal,Saúde e Beleza,1,35153.36
"Sanders, Herrera and Martinez",Seven Response,113.0,51,5763.0,2025-02-25,Eletrônicos,São Paulo,Dinheiro,20,Brandon Mccormick,Telemarketing,Black Friday,Eletrônicos,2,5763.0
Foster-Knight,Middle Collection,318.93,41,13076.13,2025-02-20,Moda,Rio de Janeiro,Boleto,10,Linda Horton,Loja Física,Black Friday,Eletrônicos,2,13076.130000000001
"Sanders, Crawford and Gonzalez",Speech High,186.07,84,15629.88,2025-01-08,Eletrônicos,Nordeste,Boleto,10,Lisa Maldonado,Telemarketing,Black Friday,Eletrônicos,1,15629.88
"Castro, Wilson and Esparza",Morning Because,197.23,86,16961.78,2025-01-08,Moda,Rio de Janeiro,Cartão de Crédito,5,Elizabeth Jenkins,Loja Física,Promoção de Natal,Saúde e Beleza,1,16961.78
Hernandez-Williams,Tell Large,193.84,70,13568.8,2025-02-25,Alimentos,Nordeste,Pix,5,William Osborne,Telemarketing,Liquidação de Verão,Roupas,2,13568.800000000001
Douglas-Spears,Education Clearly,28.36,4,113.44,2025-01-23,Eletrônicos,Rio de Janeiro,Boleto,5,Joshua Carr,Loja Física,Liquidação de Verão,Saúde e Beleza,1,113.44
Cunningham Group,Second War,233.34,84,19600.56,2025-02-04,Eletrônicos,Rio de Janeiro,Dinheiro,0,Matthew Flowers,Telemarketing,Nenhuma,Saúde e Beleza,2,19600.56
Nguyen-Stanley,Career Anything,277.46,87,24139.02,2025-01-25,Eletrônicos,São Paulo,Pix,20,Christopher Ramirez DVM,Online,Nenhuma,Casa e Decoração,1,24139.019999999997
"Rios, Jackson and Duran",Myself Family,430.46,92,39602.32,2025-02-03,Alimentos,São Paulo,Cartão de Crédito,10,David Edwards,Loja Física,Nenhuma,Roupas,2,39602.32
Keller-Williams,Dog Live,422.36,39,16472.04,2025-01-19,Moda,Nordeste,Dinheiro,5,Noah Hughes,Online,Nenhuma,Casa e Decoração,1,16472.04
Reynolds-Davis,Chair Medical,368.65,77,28386.05,2025-02-15,Alimentos,Rio de Janeiro,Boleto,5,Sheena Porter,Online,Liquidação de Verão,Saúde e Beleza,2,28386.05
"Green, Green and Gordon",Feeling Accept,402.85,13,5237.05,2025-02-13,Alimentos,Rio de Janeiro,Dinheiro,5,Deborah Gallagher,Telemarketing,Promoção de Natal,Saúde e Beleza,2,5237.05
"Edwards, Riley and Long",Each Visit,343.05,65,22298.25,2025-02-15,Eletrônicos,Rio de Janeiro,Dinheiro,10,Jonathan Miller,Telemarketing,Black Friday,Saúde e Beleza,2,22298.25
Mcclure-Wright,Treat Center,242.89,66,16030.74,2025-02-01,Moda,São Paulo,Dinheiro,10,Jennifer Conrad,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,16030.74
"Torres, Harris and Hanson",Blue Participant,367.36,92,33797.12,2025-02-07,Moda,Sul,Boleto,20,Joseph Wright,Loja Física,Promoção de Natal,Saúde e Beleza,2,33797.12
Barnes-Silva,Half Either,141.78,77,10917.06,2025-02-15,Alimentos,Rio de Janeiro,Dinheiro,5,Gregory Hodge,Telemarketing,Black Friday,Roupas,2,10917.06
Mack-Morrison,Material Way,52.42,74,3879.08,2025-02-19,Moda,Sul,Boleto,5,Danielle Gill,Online,Nenhuma,Casa e Decoração,2,3879.08
"Wilson, Fields and Taylor",Family Happen,244.22,2,488.44,2025-01-16,Moda,Nordeste,Dinheiro,10,Nicholas Thornton,Online,Black Friday,Saúde e Beleza,1,488.44
Pope PLC,Get Phone,359.84,28,10075.52,2025-02-14,Alimentos,São Paulo,Dinheiro,0,Stephanie Gonzalez,Loja Física,Promoção de Natal,Roupas,2,10075.519999999999
Ellis PLC,Reduce Unit,273.39,96,26245.44,2025-01-01,Eletrônicos,Nordeste,Boleto,20,Benjamin Moore,Loja Física,Liquidação de Verão,Casa e Decoração,1,26245.44
"Ward, Jones and Ray",Example Health,240.24,3,720.72,2025-02-10,Alimentos,Rio de Janeiro,Cartão de Crédito,10,Mrs. Diana Ellis DDS,Loja Física,Liquidação de Verão,Saúde e Beleza,2,720.72
"Tyler, Ellis and Fields",Guy Cost,177.7,16,2843.2,2025-02-16,Alimentos,Nordeste,Boleto,10,David Robbins,Loja Física,Black Friday,Casa e Decoração,2,2843.2
Maddox-Miller,Four Most,155.18,18,2793.24,2025-01-23,Alimentos,Rio de Janeiro,Dinheiro,20,Stephanie Vazquez,Online,Nenhuma,Saúde e Beleza,1,2793.2400000000002
Jefferson-Clark,City Million,491.35,8,3930.8,2025-02-17,Eletrônicos,Sul,Cartão de Crédito,10,Angela Hobbs,Telemarketing,Promoção de Natal,Eletrônicos,2,3930.8
Williams Ltd,When Focus,489.28,25,12232.0,2025-01-14,Acessórios,São Paulo,Cartão de Crédito,5,Erica Howard,Loja Física,Black Friday,Casa e Decoração,1,12232.0
Gonzalez-White,Piece Cell,242.65,59,14316.35,2025-02-14,Alimentos,Sul,Dinheiro,10,Bianca Patrick,Loja Física,Nenhuma,Casa e Decoração,2,14316.35
Conner Inc,Fact Project,122.99,56,6887.44,2025-02-02,Moda,Nordeste,Cartão de Crédito,0,Marcus Wilson,Telemarketing,Nenhuma,Eletrônicos,2,6887.44
Parker-Flynn,Back Set,154.2,1,154.2,2025-02-03,Alimentos,Sul,Pix,10,Samantha Martinez,Telemarketing,Liquidação de Verão,Eletrônicos,2,154.2
"Cook, Grant and Hill",Theory Strong,241.67,33,7975.11,2025-02-06,Acessórios,Sul,Dinheiro,10,Tammy Shaw,Online,Promoção de Natal,Roupas,2,7975.11
"Garcia, Adams and Smith",Same Offer,270.43,52,14062.36,2025-01-21,Alimentos,Sul,Boleto,10,David Bates,Loja Física,Promoção de Natal,Saúde e Beleza,1,14062.36
Levine Group,Community Water,129.96,29,3768.84,2025-02-04,Acessórios,Rio de Janeiro,Boleto,5,Laura Taylor,Online,Black Friday,Roupas,2,3768.84
